backend,device,time,size
torch,cpu,0.00798566000048595,16
torch,cpu,0.008239982998929918,16
torch,cpu,0.008481025999572012,16
torch,cpu,0.009467298001254676,16
torch,cpu,0.009925422999003786,16
jax,cpu,0.000353674999132636,16
jax,cpu,0.0002771930012386292,16
jax,cpu,0.00025789299979805946,16
jax,cpu,0.0002792840004985919,16
jax,cpu,0.00025576299958629534,16
jax,cpu,0.0002392330006841803,16
jax,cpu,0.0002473129989084555,16
jax,cpu,0.00023919300110719632,16
jax,cpu,0.00024043300072662532,16
numba,cpu,0.0008116409990179818,64
numba,cpu,2.9349999749683775e-05,64
numba,cpu,2.809000034176279e-05,64
numba,cpu,2.700100048969034e-05,64
numba,cpu,3.509999987727497e-05,64
numba,cpu,0.003017238001120859,64
numba,cpu,3.0040000638109632e-05,64
numba,cpu,2.8671000109170564e-05,64
numba,cpu,2.8200000087963417e-05,64
taichi,cpu,0.002503001000150107,64
taichi,cpu,0.001654431000133627,64
taichi,cpu,0.0006676880002487451,64
taichi,cpu,0.0003839349992631469,64
taichi,cpu,0.00039173500044853427,64
taichi,cpu,0.0003630440005508717,64
taichi,cpu,0.0004932960000587627,64
taichi,cpu,0.00029756399999314453,64
taichi,cpu,0.0002629729988257168,64
warp,cpu,0.00016970199976640288,64
warp,cpu,0.0001574119996803347,64
warp,cpu,0.00015034200077934656,64
warp,cpu,0.00014725199980603065,64
warp,cpu,0.0001478909998695599,64
warp,cpu,0.000148592000186909,64
warp,cpu,0.00015583200001856312,64
warp,cpu,0.000148401999467751,64
warp,cpu,0.000146092001159559,64
torch,cpu,0.008433746001173859,64
torch,cpu,0.009159533999991254,64
torch,cpu,0.009043433001352241,64
torch,cpu,0.008776419001151226,64
torch,cpu,0.008913131001463626,64
torch,cpu,0.008260082999186125,64
torch,cpu,0.008522226999048144,64
torch,cpu,0.007919998999568634,64
torch,cpu,0.008207332000893075,64
jax,cpu,0.0003731739998329431,64
jax,cpu,0.0003187339989381144,64
jax,cpu,0.0002836940002453048,64
jax,cpu,0.00034217400025227107,64
jax,cpu,0.00032174400075746235,64
jax,cpu,0.0002855139991879696,64
jax,cpu,0.0002772530006041052,64
jax,cpu,0.0003227140005037654,64
jax,cpu,0.00030436400083999615,64
numba,cpu,0.005387807999795768,256
numba,cpu,0.002116695999575313,256
numba,cpu,3.237999953853432e-05,256
numba,cpu,3.142100104014389e-05,256
numba,cpu,2.995000068040099e-05,256
